"experiment"	"horse"	"lameLeg"	"lameSide"	"lameForeHind"	"A"	"S"	"W"	"pc1"	"pc2"	"pc3"	"pc4"
"46"	2	"B2"	"left:hind"	"left"	"hind"	-0.274841001987953	-4.20504675877999	-0.00923849419299139	0.0968749397597324	-0.109633785828608	0.0880322014292267	-0.00734953136523899
"47"	2	"B2"	"left:fore"	"left"	"fore"	-0.0355394900767861	-4.85397237798498	0.0212200647891072	0.0931757648660629	0.0800093392501388	-0.0422557212919439	-0.0491497354948677
"48"	2	"B2"	"left:fore"	"left"	"fore"	-0.0054115958969922	-2.78948807174749	0.0605875337556302	0.0593285617969514	0.138785086304068	-0.151397241817553	-0.11720941865891
"49"	2	"B2"	"none"	"none"	"none"	-0.192920477837207	-4.71009400611681	0.00127928980876646	0.100618700348583	-0.0912000893687372	0.0435637699246109	-0.0897767594256848
"50"	2	"B3"	"right:fore"	"right"	"fore"	-0.189673178697794	-3.59353229663802	-0.0167432862742823	0.107580746290566	0.0621730877872749	0.0529025605850379	0.0526711900609067
"51"	2	"B3"	"right:fore"	"right"	"fore"	-0.666193586579126	-2.39747164410485	-0.0844079403031315	0.0868350873629175	0.0482365245720308	0.206451146700125	0.00985845956486209
"52"	2	"B3"	"left:hind"	"left"	"hind"	-0.267047125176347	-3.63434107198024	-0.00309902593994715	0.080749203138855	0.171309199147939	0.00840627462429027	0.0223744495607257
"53"	2	"B3"	"left:hind"	"left"	"hind"	-0.317133705893995	-3.45801811312043	-0.0104178807892523	0.0974555126236695	-0.121574384100904	0.114227444183812	-0.0766488773815641
"54"	2	"B3"	"left:fore"	"left"	"fore"	0.0282815367516917	-3.71854560681579	0.0209402230643088	0.100317810123291	0.0968542971084416	-0.0562773129597011	0.105798226287374
"55"	2	"B3"	"left:fore"	"left"	"fore"	0.335368275136077	-3.13946789280061	0.0614744860749804	0.061207675136383	0.167753772935043	-0.125321258762408	0.136845125330813
"56"	2	"B3"	"none"	"none"	"none"	-0.0631466974163824	-4.22248528522548	0.00931972161324846	0.112852526978525	0.00564761331354246	-0.0134731689689912	-0.0167524371973154
"57"	2	"B4"	"right:hind"	"right"	"hind"	0.0755739986054536	-6.17469327672214	0.00290855004099999	0.106465455811856	-0.0841288822800058	-0.0312910270763416	-0.0159206635810146
"58"	2	"B4"	"right:hind"	"right"	"hind"	0.134523959193605	-5.00865273892707	0.0153667609325848	0.109629449599906	0.0233489229169162	-0.0699868358864897	0.01566142160467
"59"	2	"B4"	"right:fore"	"right"	"fore"	-0.351239818750208	-2.65835403675678	-0.0628841466037033	0.0676582419276175	-0.166461686335784	0.102178661002038	0.296930152081546
"60"	2	"B4"	"right:fore"	"right"	"fore"	-0.569011410814325	-2.08501061019006	-0.0797168669419032	0.0873999259856148	0.00904998024287624	0.229881753356867	0.0898453153798672
"61"	2	"B4"	"left:hind"	"left"	"hind"	-0.270999269264966	-4.45884383089914	0.0158185553844574	0.0763727566362666	0.166925119621836	-0.0042593681490983	-0.0620185557247861
"62"	2	"B4"	"left:hind"	"left"	"hind"	-0.407934513728235	-3.94808518116763	-0.0100990874254971	0.101230929635365	-0.049704243762088	0.0957287344544333	-0.0605616772111645
"63"	2	"B4"	"left:fore"	"left"	"fore"	-0.0144230186759854	-6.48096174206086	0.00738233459117543	0.109817094692711	-0.0371973850709853	-0.014771391925106	-0.0377410961648027
"64"	2	"B4"	"left:fore"	"left"	"fore"	0.096981789059971	-1.81624878438144	0.0858947001978791	0.0819375299264695	0.0449836808544048	-0.21947002020837	-0.191798738500929
"65"	2	"B4"	"none"	"none"	"none"	-0.0845508537077565	-5.67004491676792	0.00214070025645363	0.108440070502285	-0.0978084771429774	0.0132805899095126	-0.0723147641756977
"66"	2	"B5"	"right:hind"	"right"	"hind"	0.586659012232076	-3.22859311751714	-0.0236506730612476	0.0884616415571989	-0.0637421378190037	-0.137204130004411	0.0711739866811579
"67"	2	"B5"	"right:hind"	"right"	"hind"	0.844961408204522	-2.5769912097031	-0.0682700475870028	0.0904965056047331	-0.0114849057534363	-0.171629376786755	0.142861988395941
"68"	2	"B5"	"right:fore"	"right"	"fore"	-0.0959549959618125	-5.04316749063817	-0.0185314817989122	0.0843364286825792	0.0816680820519313	0.0520492975120421	0.00267294976873548
